1 5031.07 1.137 +1
1 5374.07 1.127 +1
1 5735.91 1.21 +1
1 5867.24 1.238 +1
1 6013.49 1.198 +1
1 6017.58 1.198 +1
1 6013.76 1.174 +1
1 6041.76 1.177 +1
1 5882.24 1.172 +1
1 5945.5 1.06 +1
1 6027.26 1.06 +1
1 6081.92 1.233 +1
1 5946.14 1.355 +1
1 6009.87 1.363 +1
1 5953.54 1.363 +1
1 5849.83 1.257 +1
1 5823.9 1.257 +1
1 5742.44 1.327 +1
1 5777.56 1.309 +1
1 5644.94 1.401 +1
1 5633.46 1.4 +1
1 5567.61 1.4 +1
1 5576.5 1.271 +1
1 5500.69 1.197 +1
1 5398.72 1.2 +1
1 5334.92 1.229 +1
1 5186.32 1.229 +1
1 4676.36 1.044 +1
1 4650.8 1.02 +1
1 4708.75 0.97 +1
1 4889.7 0.928 +1
1 5081.36 1.077 +1
1 5232.5 1.075 +1
1 5350.92 1.101 +1
1 5320.4 1.144 +1
1 5342.16 1.195 +1
1 5401.22 1.2 +1
1 5505.98 1.22 +1
1 5647.49 1.22 +1
1 5753.55 1.216 +1
1 5702.85 1.318 +1
1 5629.18 1.377 +1
1 5537.27 1.346 +1
1 5546.14 1.301 +1
1 5583.73 1.301 +1
1 5523.57 1.182 +1
1 5466.21 1.179 +1
1 5420.59 1.195 +1
1 5349.14 1.192 +1
1 5232.5 1.224 +1
1 5190.24 1.224 +1
1 5258.74 1.304 +1
1 5316.51 1.338 +1
1 5358.75 1.314 +1
1 5328.14 1.315 +1
1 5260.5 1.418 +1
1 5262.89 1.418 +1
1 5207.77 1.378 +1
1 5174.76 1.418 +1
1 5172.18 1.346 +1
1 5067.94 1.317 +1
1 5068.86 1.23 +1
1 5024.51 1.015 +1
1 4909.3 1.015 +1
1 4897.87 1.015 +1
1 4962.89 0.735 +1
1 4607.85 0.735 +1
1 5252.8 0.957 -1
1 5129.14 0.949 -1
1 5147.14 0.912 -1
1 5097.12 0.92 -1
1 5183.05 0.92 -1
1 5193 0.981 -1
1 5265.8 0.948 -1
1 5304.71 0.955 -1
1 5315.87 0.955 -1
1 5339.37 0.989 -1
1 5359.76 0.991 -1
1 5355 0.991 -1
1 5372.79 0.986 -1
1 5368.36 0.943 -1
1 5205.21 0.908 -1
1 5183.58 0.937 -1
1 5350.75 0.982 -1
1 5382.83 0.98 -1
1 5325.64 0.98 -1
1 5320.73 0.967 -1
1 5340.78 0.976 -1
1 5340.38 0.983 -1
1 5361.36 0.981 -1
1 5341.31 0.98 -1
1 5292 0.941 -1
1 5253.92 0.986 -1
1 5230.2 0.894 -1
1 5209.62 0.894 -1
1 5171.94 0.861 -1
1 5212.21 0.906 -1
1 5224.3 0.922 -1
1 5247.31 0.932 -1
1 5328.82 0.94 -1
1 5393.68 0.943 -1
1 5301.86 0.938 -1
1 5230.49 0.902 -1
1 5203.35 0.905 -1
1 5200.85 0.912 -1
1 5208.4 0.92 -1
1 5233.86 0.922 -1
1 5245.2 0.918 -1
1 5261.35 0.915 -1
1 5255.73 0.931 -1
1 5263.78 0.942 -1
1 5313.01 0.942 -1
1 5360.26 0.958 -1
1 5395.79 0.957 -1
1 5427.92 0.959 -1
1 5397.73 0.982 -1
1 5306.82 0.943 -1
1 5257.39 0.953 -1
1 5280.13 0.905 -1
1 5360.61 0.925 -1
1 5420.15 0.943 -1
1 5503.52 0.922 -1
1 5412.33 0.922 -1
1 5309.73 0.923 -1
1 5226.68 0.903 -1
1 5174.1 0.899 -1
1 5174.26 0.899 -1
1 5140 0.904 -1
1 5159.87 0.906 -1
1 5264.72 0.915 -1
1 5158.45 0.886 -1
1 5199.35 0.9 -1
1 5277.2 0.924 -1
1 5323.26 0.933 -1
