2254.197 3.408 1.379 2.131 63.871 0.319 7262.45
2254.045 3.3 1.375 2.136 63.663 0.316 7048.8
2254.654 3.502 1.488 2.155 66.372 0.322 7546.81
2254.959 3.302 1.579 2.153 73.378 0.346 7109.21
2255.112 3.232 1.593 2.139 71.493 0.346 6913.25
2255.264 3.209 1.533 2.141 67.058 0.324 6870.47
2256.178 3.169 1.469 2.158 62.244 0.31 6838.7
2256.331 3.151 1.515 2.162 62.631 0.313 6812.46
2256.483 3.152 1.559 2.153 63.184 0.304 6786.26
2256.635 3.194 1.559 2.157 61.211 0.299 6889.46
2256.788 3.211 1.712 2.149 60.573 0.293 6900.44
2257.245 3.238 1.465 2.141 61.869 0.317 6932.56
2257.55 3.16 1.311 2.145 62.828 0.31 6778.2
2257.702 3.04 1.183 2.149 62.757 0.311 6532.96
2257.855 2.985 1.176 2.151 63.268 0.309 6420.74
2258.007 2.764 1.202 2.17 65.231 0.318 5997.88
2258.16 2.786 1.167 2.191 68.296 0.308 6104.13
2258.312 2.824 1.167 2.215 72.081 0.315 6255.16
2259.531 3.372 1.613 2.196 70.978 0.293 7404.91
2259.836 3.047 1.628 2.176 70.167 0.27 6630.27
2260.141 2.931 1.497 2.147 62.085 0.279 6292.86
2260.903 2.989 1.217 2.089 71.739 0.34 6244.02
2261.36 2.996 1.247 2.14 73.773 0.421 6411.44
2261.665 3.038 1.258 2.175 84.052 0.37 6607.65
2261.817 2.985 1.255 2.192 83.529 0.335 6543.12
2261.97 2.983 1.363 2.192 79.206 0.336 6538.74
2262.274 2.977 1.389 2.238 74.837 0.308 6662.53
2262.427 2.94 1.389 2.28 77.555 0.289 6703.2
2263.036 2.951 1.467 2.186 58.756 0.305 6450.89
2263.189 2.98 1.532 2.167 57.604 0.303 6457.66
2263.341 3.051 1.532 2.165 57.434 0.316 6605.42
2263.494 3.061 1.6 2.17 58.444 0.311 6642.37
2264.56 3.215 1.641 2.21 63.896 0.285 7105.15
2266.084 3.085 1.532 2.176 65.626 0.305 6712.96
2266.237 3.062 1.522 2.175 68.717 0.309 6659.85
2266.541 3.073 1.515 2.171 64.065 0.303 6671.48
2267.608 3.161 1.613 2.196 60.72 0.259 6941.56
2267.761 3.161 1.462 2.204 62.42 0.264 6966.84
2268.066 3.194 1.473 2.204 62.554 0.282 7039.58
2268.37 3.163 1.623 2.187 65.523 0.31 6917.48
2269.285 3.179 1.51 2.179 62.137 0.289 6927.04
2269.437 3.174 1.504 2.183 63.636 0.285 6928.84
2270.047 3.194 1.506 2.179 65.519 0.283 6959.73
2270.199 3.194 1.505 2.173 67.188 0.284 6940.56
2270.504 3.284 1.449 2.179 65.634 0.288 7155.84
2270.809 3.128 1.476 2.2 74.482 0.291 6881.6
2271.113 3.077 1.389 2.264 78.777 0.269 6966.33
2271.571 2.942 1.409 2.179 68.565 0.296 6410.62
2272.028 2.91 1.371 2.192 69.215 0.345 6378.72
2272.333 3.003 1.471 2.173 72.719 0.356 6525.52
2272.638 3.098 1.489 2.201 70.676 0.309 6818.7
2272.942 3.129 1.451 2.175 68.582 0.306 6805.58
2273.095 3.152 1.508 2.168 64.01 0.305 6833.54
2273.247 3.129 1.455 2.179 62.311 0.289 6818.09
2273.4 3.057 1.455 2.184 57.974 0.285 6676.49
2273.552 2.964 1.397 2.186 58.916 0.281 6479.3
2273.704 2.944 1.385 2.188 59.794 0.278 6441.47
2273.857 2.926 1.377 2.194 63.236 0.272 6419.64
2274.619 2.924 1.379 2.25 76.505 0.306 6579
2274.771 2.904 1.379 2.222 72.395 0.301 6452.69
2275.381 3.131 1.53 2.183 67.581 0.3 6834.97
2275.533 3.124 1.55 2.168 64.058 0.302 6772.83
2275.686 3.166 1.536 2.167 62.985 0.301 6860.72
2276.295 3.252 1.391 2.169 63.613 0.278 7053.59
2276.448 3.272 1.581 2.187 62.107 0.284 7155.86
2276.6 3.261 1.646 2.197 62.518 0.282 7164.42
2276.905 3.305 1.667 2.192 60.998 0.27 7244.56
2277.819 2.994 1.52 2.204 66.246 0.276 6598.78
2277.972 2.995 1.516 2.205 66.197 0.279 6603.98
2278.124 3.022 1.511 2.208 62.996 0.298 6672.58
2278.429 3.107 1.599 2.281 77.361 0.356 7087.07
2278.581 3.223 1.631 2.303 77.399 0.329 7422.57
2278.886 3.245 1.626 2.225 63.176 0.277 7220.13
2279.038 3.256 1.59 2.198 62.71 0.289 7156.69
2279.343 3.263 1.594 2.201 63.525 0.304 7181.86
2279.953 3.297 1.625 2.206 64.567 0.289 7273.18
2280.105 3.293 1.632 2.206 65.864 0.286 7264.36
2280.715 3.276 1.677 2.234 67.14 0.311 7318.58
2280.867 3.288 1.688 2.256 70.075 0.304 7417.73
2281.019 3.289 1.675 2.265 73.725 0.299 7449.59
2281.172 3.264 1.67 2.27 77.836 0.287 7409.28
2281.477 3.237 1.667 2.239 75.294 0.279 7247.64
2281.782 3.235 1.653 2.208 67.785 0.277 7142.88
2282.239 3.262 1.621 2.219 66.239 0.275 7238.38
2282.391 3.28 1.621 2.2 62.692 0.277 7216
2282.696 3.295 1.652 2.203 65.208 0.282 7258.89
2282.848 3.298 1.677 2.216 65.783 0.269 7308.37
2283.001 3.287 1.5 2.234 69.48 0.259 7343.16
2283.153 3.291 1.653 2.247 67.95 0.265 7394.88
2283.763 3.333 1.65 2.218 67.251 0.263 7392.59
2284.068 3.305 1.657 2.272 74.442 0.259 7508.96
2284.22 3.292 1.657 2.282 75.684 0.257 7512.34
2284.982 3.263 1.575 2.203 64.315 0.285 7188.39
2285.135 3.261 1.575 2.207 62.752 0.277 7197.03
2285.287 3.274 1.575 2.212 63.165 0.269 7242.09
2285.744 3.302 1.601 2.227 61.514 0.258 7353.55
2285.896 3.329 1.599 2.231 63.163 0.266 7427
2286.049 3.346 1.599 2.226 64.433 0.259 7448.2
2286.201 3.346 1.594 2.227 65.233 0.267 7451.54
2286.811 3.03 1.448 2.291 73.653 0.269 6941.73
2286.963 2.95 1.448 2.333 79.202 0.306 6882.35
2287.115 2.962 1.454 2.336 85.495 0.35 6919.23
2287.268 3.057 1.509 2.337 91.253 0.387 7144.21
2287.42 3.087 1.595 2.319 90.91 0.374 7158.75
2287.878 3.263 1.622 2.251 74.361 0.3 7345.01
2288.182 3.257 1.593 2.22 68.886 0.283 7230.54
2288.335 3.252 1.593 2.214 66.992 0.285 7199.93
2288.487 3.253 1.601 2.204 62.992 0.281 7169.61
2288.64 3.262 1.516 2.207 63.641 0.287 7199.23
2288.792 3.255 1.516 2.216 64.891 0.281 7213.08
2289.554 3.349 1.646 2.196 64.163 0.283 7354.4
2289.859 3.276 1.64 2.28 60.504 0.239 7469.28
2290.468 3.164 1.582 2.192 57.8 0.266 6935.49
2290.773 3.189 1.548 2.193 56.261 0.275 6993.48
2291.688 3.214 1.522 2.187 59.296 0.276 7029.02
2291.992 3.224 1.51 2.19 60.319 0.306 7060.56
2292.602 3.058 1.51 2.312 80.961 0.315 7070.1
2292.754 3.046 1.506 2.304 84.341 0.304 7017.98
2292.907 3.096 1.511 2.279 87.292 0.313 7055.78
2293.059 3.096 1.539 2.267 85.618 0.316 7018.63
2293.364 3.171 1.542 2.277 82.284 0.322 7220.37
2293.516 3.192 1.56 2.263 80.659 0.33 7223.5
2294.278 3.194 1.512 2.209 62.837 0.283 7055.55
